RAW Data export file (tab separated)


Client:	,SA95
Session:	SA95BP-6.75to4.25 
Date:	01-07-2018
Time:	14:33:24
Duration:	985	Seconds.
Output rate:	256	Samples/sec.

256 SPS	32 SPS	
Sensor-B:ECG/EKG	Sensor-G:RSP	


16628.809	664.079
16626.865	664.079
16625.344	664.079
16622.137	664.079
16623.719	664.079
16622.078	664.079
16617.123	663.999
16617.771	663.999
16622.445	663.999
16621.203	663.999
16620.480	663.999
16623.787	663.999
16625.094	663.999
16621.910	663.999
16612.963	663.918
16607.217	663.918
16610.527	663.918
16618.668	663.918
16621.936	663.918
16622.070	663.918
16616.609	663.918
16612.311	663.918
16615.496	663.839
16616.637	663.839
16614.557	663.839
16614.859	663.839
16614.225	663.839
16614.244	663.839
16614.396	663.839
16615.994	663.839
16620.430	663.752
16619.785	663.752
16624.811	663.752
16636.205	663.752
16684.447	663.752
16700.436	663.752
16701.359	663.752
16704.303	663.752
16708.773	663.633
16706.027	663.633
16708.775	663.633
16725.990	663.633
16736.625	663.633
16731.820	663.633
16700.926	663.633
16692.627	663.633
16693.389	663.568
16691.238	663.568
16657.604	663.568
16624.373	663.568
16594.730	663.568
16586.791	663.568
16600.053	663.568
16609.326	663.568
16610.258	663.533
16609.555	663.533
16611.443	663.533
16613.344	663.533
16613.293	663.533
16617.402	663.533
16621.965	663.533
16619.113	663.533
16617.869	663.497
16622.371	663.497
16614.758	663.497
16605.768	663.497
16637.592	663.497
16789.736	663.497
17117.828	663.497
17558.473	663.497
17915.443	663.478
18152.768	663.478
18270.115	663.478
18606.979	663.478
18598.861	663.478
18372.992	663.478
18186.109	663.478
17246.346	663.478
16899.859	663.436
16387.939	663.436
16490.766	663.436
16623.746	663.436
16659.691	663.436
16692.049	663.436
16683.357	663.436
16673.309	663.436
16669.070	663.380
16660.574	663.380
16662.543	663.380
16667.926	663.380
16666.273	663.380
16662.770	663.380
16660.162	663.380
16664.613	663.380
16667.980	663.323
16666.789	663.323
16663.893	663.323
16662.355	663.323
16668.643	663.323
16677.645	663.323
16680.375	663.323
16683.820	663.323
16687.203	663.294
16680.750	663.294
16683.311	663.294
16691.693	663.294
16693.645	663.294
16693.594	663.294
16698.783	663.294
16706.912	663.294
16712.568	663.241
16711.979	663.241
16710.770	663.241
16715.652	663.241
16727.963	663.241
16737.785	663.241
16741.754	663.241
16745.973	663.241
16759.541	663.172
16763.730	663.172
16782.205	663.172
16795.176	663.172
16806.498	663.172
16811.521	663.172
16832.938	663.172
16840.777	663.172
16867.945	663.096
16891.855	663.096
16911.145	663.096
16917.916	663.096
16937.129	663.096
16943.408	663.096
16957.197	663.096
16965.885	663.096
16975.854	662.991
16990.373	662.991
17008.041	662.991
17016.824	662.991
17013.904	662.991
17006.805	662.991
16996.133	662.991
16981.281	662.991
16963.768	662.882
16942.209	662.882
16918.406	662.882
16889.207	662.882
16858.082	662.882
16832.041	662.882
16815.928	662.882
16797.033	662.882
16782.654	662.781
16772.195	662.781
16764.576	662.781
16758.510	662.781
16745.959	662.781
16737.740	662.781
16737.951	662.781
16739.535	662.781
16738.178	662.664
16735.938	662.664
16735.264	662.664
16730.895	662.664
16730.969	662.664
16728.893	662.664
16727.473	662.664
16732.930	662.664
16737.715	662.603
16743.371	662.603
16740.721	662.603
16744.301	662.603
16746.105	662.603
16746.508	662.603
16747.203	662.603
16751.934	662.603
16758.510	662.583
16765.125	662.583
16771.484	662.583
16772.238	662.583
16766.975	662.583
16765.369	662.583
16773.990	662.583
16779.744	662.583
16774.406	662.564
16770.803	662.564
16774.238	662.564
16777.678	662.564
16773.426	662.564
16770.809	662.564
16772.389	662.564
16772.238	662.564
16770.939	662.498
16767.568	662.498
16761.010	662.498
16760.096	662.498
16760.910	662.498
16755.055	662.498
16748.006	662.498
16744.889	662.498
16742.893	662.467
16739.584	662.467
16738.152	662.467
16737.859	662.467
16738.148	662.467
16733.930	662.467
16726.287	662.467
16721.693	662.467
16715.207	662.425
16717.656	662.425
16725.289	662.425
16722.303	662.425
16720.191	662.425
16718.736	662.425
16712.916	662.425
16711.756	662.425
16709.936	662.408
16709.172	662.408
16713.207	662.408
16714.689	662.408
16715.617	662.408
16708.059	662.408
16699.061	662.408
16700.906	662.408
16702.314	662.326
16698.326	662.326
16698.543	662.326
16700.426	662.326
16702.621	662.326
16704.359	662.326
16703.389	662.326
16704.107	662.326
16704.713	662.240
16708.893	662.240
16710.324	662.240
16707.781	662.240
16706.818	662.240
16706.918	662.240
16703.910	662.240
16700.643	662.240
16701.516	662.160
16706.689	662.160
16712.512	662.160
16713.951	662.160
16715.473	662.160
16716.740	662.160
16714.033	662.160
16728.465	662.160
16744.957	662.048
16795.025	662.048
16803.279	662.048
16812.887	662.048
16809.713	662.048
16805.152	662.048
16803.189	662.048
16812.404	662.048
16825.521	661.955
16824.100	661.955
16815.637	661.955
16790.773	661.955
16790.482	661.955
16787.922	661.955
16766.072	661.955
16743.693	661.955
16724.648	661.876
16699.172	661.876
16683.475	661.876
16694.180	661.876
16707.787	661.876
16704.449	661.876
16692.910	661.876
16692.719	661.876
16703.082	661.805
16708.797	661.805
16709.275	661.805
16714.207	661.805
16722.652	661.805
16726.512	661.805
16715.293	661.805
16697.662	661.805
16703.424	661.722
16763.297	661.722
16941.199	661.722
17294.414	661.722
17737.461	661.722
18060.830	661.722
18285.324	661.722
18536.008	661.722
18711.457	661.629
18708.777	661.629
18377.248	661.629
18164.725	661.629
17169.936	661.629
16601.600	661.629
16468.221	661.629
16526.979	661.629
16722.162	661.526
16758.254	661.526
16765.027	661.526
16766.264	661.526
16761.453	661.526
16760.197	661.526
16759.592	661.526
16753.881	661.526
16750.449	661.420
16750.781	661.420
16752.582	661.420
16753.426	661.420
16756.150	661.420
16750.871	661.420
16747.547	661.420
16752.645	661.420
16759.080	661.338
16764.396	661.338
16765.359	661.338
16764.885	661.338
16762.734	661.338
16757.652	661.338
16760.637	661.338
16766.154	661.338
16769.613	661.249
16772.004	661.249
16774.164	661.249
16775.586	661.249
16776.215	661.249
16787.443	661.249
16797.576	661.249
16800.756	661.249
16801.471	661.102
16799.848	661.102
16809.182	661.102
16825.789	661.102
16832.656	661.102
16846.043	661.102
16852.469	661.102
16861.824	661.102
16869.922	660.939
16895.484	660.939
16905.441	660.939
16915.289	660.939
16922.797	660.939
16953.016	660.939
16964.176	660.939
16995.529	660.939
17007.758	660.766
17018.055	660.766
17025.313	660.766
17049.805	660.766
17062.176	660.766
17070.926	660.766
17077.355	660.766
17084.504	660.766
17095.275	660.576
17094.881	660.576
17086.252	660.576
17076.264	660.576
17062.447	660.576
17040.623	660.576
17022.299	660.576
17000.146	660.576
16973.281	660.404
16956.891	660.404
16943.170	660.404
16921.971	660.404
16897.932	660.404
16879.984	660.404
16869.094	660.404
16860.236	660.404
16852.113	660.248
16847.078	660.248
16841.137	660.248
16838.480	660.248
16831.387	660.248
16827.264	660.248
16827.445	660.248
16830.809	660.248
16831.830	660.131
16830.225	660.131
16831.227	660.131
16839.139	660.131
16844.465	660.131
16845.389	660.131
16847.285	660.131
16850.682	660.131
16854.828	660.035
16854.561	660.035
16857.389	660.035
16860.254	660.035
16865.068	660.035
16862.287	660.035
16856.268	660.035
16864.633	660.035
16874.125	659.957
16872.145	659.957
16873.014	659.957
16877.502	659.957
16880.035	659.957
16879.893	659.957
16876.311	659.957
16864.746	659.957
16855.486	659.875
16860.844	659.875
16867.432	659.875
16871.490	659.875
16871.703	659.875
16866.418	659.875
16864.117	659.875
16855.580	659.875
16841.271	659.766
16835.137	659.766
16839.238	659.766
